task_id	antibiotic	phenotype	gold_class	gold_required_genes	gold_class_decision	gold_class_proposed	required_genes_decision	required_genes_proposed	auditor_notes
mechreason_kp_000342	tigecycline	Resistant	efflux	oqxa,oqxb,teta	OVERRIDE	insufficient_evidence			Wild-type tet(A) and oqxAB do not give tigecycline R. Suggests unannotated chromosomal regulator LoF (ramR/acrR/oqxR). HypothesisGen flavor.
mechreason_kp_000569	tigecycline	Intermediate	efflux	teta	AMBIGUOUS			Wild-type tet(A) alone with tigecycline Intermediate phenotype is borderline; not clearly any single mechanism.
mechreason_kp_000738	tetracycline	Resistant	efflux	oqxa,oqxb,teta,tetb	KEEP				tet(A) and tet(B) are direct tetracycline efflux pumps; correct.
mechreason_kp_000224	aztreonam	Resistant	enzymatic_inactivation	blactxm,blactxm15,blashv106,blashv28,blatem1	KEEP				CTX-M-15 hydrolyzes aztreonam directly; ompK35 frameshift irrelevant for aztreonam.
mechreason_kp_000698	meropenem	Resistant	enzymatic_inactivation	blakpc3,blashv11,blashv158,blashv159,blashv182	KEEP				KPC-3 carbapenemase hydrolyzes meropenem; textbook.
mechreason_kp_000807	cefoxitin	Resistant	enzymatic_inactivation	blactxm15,blaoxa1,blashv52,blatem1	OVERRIDE	permeability_loss	OVERRIDE	ompk36q313ter	Cefoxitin not hydrolyzed by CTX-M-15/OXA-1/SHV-52/TEM-1. Dominant mechanism is ompK36 truncation + chromosomal SHV induction. Heuristic priority bug.
mechreason_kp_000868	meropenem	Resistant	enzymatic_inactivation	blacmy4,blactxm15,blashv1,blashv145,blashv179,blashv194,blashv199,blavim19	KEEP				VIM-19 metallo-β-lactamase hydrolyzes meropenem.
mechreason_kp_000103	ciprofloxacin	Resistant	insufficient_evidence		KEEP				aac(6')-Ib-cr + oqxAB + qnrB1 each give low-level MIC bumps; clinical R needs QRDR mutations. Genuine HypothesisGen case.
mechreason_kp_000117	nitrofurantoin	Intermediate	insufficient_evidence		KEEP				No relevant hits; nitrofurantoin R typically from nfsA/nfsB not in annotator scope.
mechreason_kp_000266	levofloxacin	Resistant	insufficient_evidence		KEEP				aac(6')-Ib-cr + oqxAB + qnrB1 alone insufficient for clinical R.
mechreason_kp_000563	ciprofloxacin	Resistant	insufficient_evidence		KEEP				Same as previous quinolone insufficient_evidence cases.
mechreason_kp_000565	levofloxacin	Resistant	insufficient_evidence		KEEP				Same as previous.
mechreason_kp_000603	trimethoprim/sulfamethoxazole	Resistant	insufficient_evidence		KEEP				No dfr/sul; OqxAB alone insufficient for TMP-SMX R.
mechreason_kp_000866	fosfomycin	Resistant	intrinsic	fosa	KEEP				Chromosomal fosA in K. pneumoniae gives intrinsic elevated MIC; 99.3 percent identity consistent with chromosomal allele.
mechreason_kp_000303	trimethoprim/sulfamethoxazole	Resistant	metabolic_bypass	dfra14,sul2	KEEP				dfrA14 + sul2 textbook bypass.
mechreason_kp_000494	trimethoprim/sulfamethoxazole	Resistant	metabolic_bypass	sul1	KEEP				sul1 alone borderline but often explains clinical R.
mechreason_kp_000740	trimethoprim/sulfamethoxazole	Resistant	metabolic_bypass	dfra1,dfra14,sul1,sul2	KEEP				Full bypass panel.
mechreason_kp_000468	ertapenem	Resistant	permeability_loss	ompk35e42rfster47	KEEP				No active carbapenemase (OXA truncated); SHV-partial; ompK35 frameshift drives ertapenem R.
mechreason_kp_000490	meropenem	Resistant	permeability_loss	ompk35e42rfster47	KEEP				SHV-31 ESBL but no carbapenemase; ompK35 frameshift drives meropenem R.
mechreason_kp_000715	imipenem	Resistant	permeability_loss	ompk35e42rfster47,ompk36q262pfster55	AMBIGUOUS				Hybrid: SHV-5 ESBL + promoter-up SHV_C-112A + dual porin frameshift. Vocabulary lacks hybrid category.
mechreason_kp_000717	meropenem	Resistant	permeability_loss	ompk35e42rfster47,ompk36q262pfster55	AMBIGUOUS				Same isolate as previous; same hybrid mechanism.
mechreason_kp_000734	imipenem	Resistant	permeability_loss	ompk35g208vfster5	KEEP				CTX-M-15 + ompK35 frameshift; published mechanism for imipenem R via porin loss enabling residual ESBL.
mechreason_kp_000813	meropenem	Intermediate	permeability_loss	ompk36q313ter	KEEP				Same mechanism as previous but Intermediate.
mechreason_kp_000162	tetracycline	Resistant	regulator_loss_of_function	ramre113pfster7	OVERRIDE	efflux	OVERRIDE	teta	Heuristic priority bug. tet(A) is direct tetracycline efflux pump and dominant mechanism. ramR LoF supplementary.
mechreason_kp_000662	tetracycline	Resistant	regulator_loss_of_function	ramre102sfster17	KEEP				No tet(A); tetracycline R must come from ramR-LoF-driven AcrAB-TolC overexpression.
mechreason_kp_000921	tetracycline	Resistant	regulator_loss_of_function	ramry59cfster13	OVERRIDE	efflux	OVERRIDE	teta	Same heuristic priority bug as previous tet(A)+ramR case.
mechreason_kp_000922	tigecycline	Resistant	regulator_loss_of_function	ramry59cfster13	KEEP				Tigecycline R from ramR LoF is modal published K. pneumoniae mechanism.
mechreason_kp_000248	levofloxacin	Resistant	target_modification	gyras83i,parcs80i	KEEP				gyrA S83I + parC S80I = textbook QRDR.
mechreason_kp_000407	ciprofloxacin	Resistant	target_modification	gyras83i,parcs80i	KEEP				QRDR plus ancillary mechanisms.
mechreason_kp_000447	ciprofloxacin	Resistant	target_modification	gyrad87g,gyras83y,parcs80i	KEEP				Triple QRDR mutant.
mechreason_kp_000838	levofloxacin	Resistant	target_modification	gyras83i,parcs80i	KEEP				Double QRDR mutant.
